cell,auc_before,auc_after,n
33cde267-919e-4c4d-9105-814787499837:203,0.3571428571428571,0.3035714285714286,64
33cde267-919e-4c4d-9105-814787499837:238,0.5357142857142857,0.5892857142857143,64
33cde267-919e-4c4d-9105-814787499837:260,0.2991071428571429,0.28348214285714285,64
33cde267-919e-4c4d-9105-814787499837:264,0.328125,0.28794642857142855,64
33cde267-919e-4c4d-9105-814787499837:268,0.7433035714285714,0.6696428571428572,64
33cde267-919e-4c4d-9105-814787499837:274,0.3035714285714286,0.24330357142857142,64
33cde267-919e-4c4d-9105-814787499837:284,0.29464285714285715,0.2857142857142857,64
33cde267-919e-4c4d-9105-814787499837:311,0.5803571428571429,0.5758928571428572,64
33cde267-919e-4c4d-9105-814787499837:329,0.6383928571428572,0.6272321428571428,64
33cde267-919e-4c4d-9105-814787499837:337,0.4151785714285714,0.3839285714285714,64
33cde267-919e-4c4d-9105-814787499837:341,0.34375,0.3839285714285714,64
33cde267-919e-4c4d-9105-814787499837:343,0.5736607142857143,0.5379464285714286,64
33cde267-919e-4c4d-9105-814787499837:350,0.38392857142857145,0.4151785714285714,64
33cde267-919e-4c4d-9105-814787499837:351,0.6071428571428572,0.5625,64
33cde267-919e-4c4d-9105-814787499837:353,0.703125,0.6138392857142857,64
33cde267-919e-4c4d-9105-814787499837:355,0.6785714285714286,0.6116071428571428,64
33cde267-919e-4c4d-9105-814787499837:360,0.5379464285714286,0.4888392857142857,64
33cde267-919e-4c4d-9105-814787499837:365,0.390625,0.4285714285714286,64
33cde267-919e-4c4d-9105-814787499837:371,0.5290178571428572,0.4799107142857143,64
33cde267-919e-4c4d-9105-814787499837:372,0.5602678571428572,0.5290178571428572,64
33cde267-919e-4c4d-9105-814787499837:373,0.6584821428571428,0.6629464285714286,64
33cde267-919e-4c4d-9105-814787499837:387,0.5959821428571428,0.6138392857142857,64
33cde267-919e-4c4d-9105-814787499837:391,0.22544642857142858,0.1517857142857143,64
33cde267-919e-4c4d-9105-814787499837:398,0.484375,0.4263392857142857,64
3c283107-7012-48fc-a6c2-ed096b23974f:815,0.30405405405405406,0.37612612612612617,49
3c283107-7012-48fc-a6c2-ed096b23974f:816,0.5112612612612613,0.554054054054054,49
3c283107-7012-48fc-a6c2-ed096b23974f:818,0.34684684684684686,0.3828828828828829,49
3c283107-7012-48fc-a6c2-ed096b23974f:819,0.27702702702702703,0.3490990990990991,49
3c283107-7012-48fc-a6c2-ed096b23974f:821,0.3761261261261261,0.47072072072072074,49
3c283107-7012-48fc-a6c2-ed096b23974f:824,0.40540540540540543,0.5045045045045046,49
3c283107-7012-48fc-a6c2-ed096b23974f:826,0.4572072072072072,0.4864864864864865,49
3c283107-7012-48fc-a6c2-ed096b23974f:842,0.8198198198198199,0.6486486486486487,49
3c283107-7012-48fc-a6c2-ed096b23974f:847,0.4346846846846847,0.536036036036036,49
3c283107-7012-48fc-a6c2-ed096b23974f:866,0.5281531531531533,0.5900900900900901,49
3c283107-7012-48fc-a6c2-ed096b23974f:868,0.4436936936936937,0.4864864864864865,49
3c283107-7012-48fc-a6c2-ed096b23974f:901,0.5630630630630631,0.5518018018018018,49
3c283107-7012-48fc-a6c2-ed096b23974f:906,0.6869369369369369,0.4954954954954955,49
3c283107-7012-48fc-a6c2-ed096b23974f:912,0.5337837837837838,0.5247747747747749,49
3c283107-7012-48fc-a6c2-ed096b23974f:914,0.6711711711711712,0.5292792792792793,49
3c283107-7012-48fc-a6c2-ed096b23974f:915,0.4662162162162163,0.5360360360360361,49
3c283107-7012-48fc-a6c2-ed096b23974f:934,0.42680180180180183,0.5045045045045046,49
3c283107-7012-48fc-a6c2-ed096b23974f:950,0.8063063063063063,0.7184684684684686,49
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:100,0.4303418803418803,0.4271367521367521,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:104,0.5331196581196581,0.5220085470085469,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:130,0.4773504273504273,0.48867521367521366,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:135,0.5324786324786325,0.4807692307692307,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:171,0.4861111111111111,0.49935897435897436,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:188,0.4634615384615384,0.45405982905982906,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:3,0.5346153846153846,0.5220085470085469,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:48,0.6297008547008547,0.6273504273504273,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:65,0.6177350427350428,0.6303418803418803,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:71,0.5452991452991454,0.5102564102564102,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:74,0.5006410256410256,0.4818376068376068,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:83,0.6318376068376068,0.6151709401709401,137
3d3d5a5e-df26-43ee-80b6-2d72d85668a5:85,0.5113247863247863,0.5181623931623931,137
46448da7-ad7b-4ca8-b3ab-2d1d47439cbf:140,0.5411490683229814,0.5854037267080746,102
46448da7-ad7b-4ca8-b3ab-2d1d47439cbf:141,0.6467391304347826,0.6836180124223602,102
